alaag,amiddellaag,amiddelhoog,ahoog
281,253,232,209
370,366,359,351
25,23,20,17
164,150,135,118
50,46,44,41
780,849,861,862
108,118,130,143
32,41,45,49
0,0,0,0
62,64,66,68
0,0,0,0
1216,1120,1059,999
841,812,773,728
108,101,98,94
373,332,295,254
141,127,114,98
181,156,135,112
93,91,92,92
250,279,322,373
195,174,153,131
641,685,720,758
103,89,72,52
0,0,0,0
68,68,68,68
1203,1104,1014,915
5647,6414,7051,7735
781,857,903,949
986,1299,2071,3033
701,791,857,926
164,205,248,296
557,608,664,728
633,829,995,1175
664,765,878,1006
604,693,843,1024
152,173,197,223
442,512,581,657
1408,1850,2066,2261
368,411,500,609
678,676,633,577
309,427,480,526
1694,1605,1519,1422
905,894,890,888
694,762,834,914
229,309,390,481
230,259,290,325
688,929,1210,1533
193,210,233,259
244,262,285,313
463,509,576,656
145,161,184,211
273,283,299,319
407,419,431,445
371,416,471,534
0,0,0,0
364,421,490,570
370,436,476,516
2123,1760,1523,1285
59,71,88,107
0,0,0,0
302,351,432,531
156,205,257,316
1636,1449,1340,1234
4303,4131,4027,3924
423,500,599,714
572,617,641,662
164,174,180,185
1805,2141,2722,3424
229,210,202,195
2876,2915,3025,3163
204,224,241,260
0,0,0,0
186,204,224,247
0,0,0,0
14,13,12,10
158,155,155,157
323,299,283,268
137,151,163,175
991,1128,1162,1178
162,163,159,153
222,267,300,334
748,660,585,506
0,0,0,0
0,0,0,0
908,891,864,832
153,130,111,89
512,549,567,584
158,172,192,217
124,112,101,88
668,627,598,568
133,126,117,107
257,222,189,153
151,139,128,116
589,608,601,588
80,69,58,45
241,217,194,169
123,109,95,79
0,0,0,0
840,934,967,992
203,174,152,130
0,0,0,0
111,96,82,67
262,264,260,255
43,40,38,35
112,102,94,85
1098,1112,1069,1009
672,745,790,834
109,118,117,115
325,382,493,629
27,26,23,20
143,153,166,180
2137,1809,1550,1275
332,341,340,337
2965,2571,2247,1900
232,243,241,236
582,561,550,540
26,30,38,48
799,968,1060,1148
351,367,366,362
99,94,106,122
74,83,96,110
1232,1317,1421,1543
240,263,284,307
456,475,502,534
140,150,162,176
422,429,434,440
67,60,52,44
242,246,244,240
346,287,247,205
0,0,0,0
175,165,152,137
0,0,0,0
211,235,250,264
371,372,371,369
408,352,300,243
481,520,534,544
401,445,491,543
113,139,175,217
93,90,88,86
84,77,67,56
49,45,42,39
42,43,46,48
629,559,502,441
16,14,13,11
105,94,85,75
130,135,139,144
0,0,0,0
220,189,162,133
0,0,0,0
494,544,551,550
459,398,357,317
1150,1222,1287,1357
115,104,94,81
334,318,310,303
0,0,0,0
141,131,122,111
215,188,165,140
58,52,48,43
539,520,488,448
287,239,196,149
1017,862,734,596
705,750,776,801
0,0,0,0
0,0,0,0
206,187,167,144
469,414,362,305
131,114,99,82
78,76,74,73
129,145,163,183
0,0,0,0
589,662,692,717
0,0,0,0
330,282,244,202
3155,2880,2633,2363
88,84,81,77
76,83,92,101
81,88,95,102
261,254,249,243
481,465,447,425
81,101,148,205
754,789,786,773
160,192,206,219
1677,1535,1392,1231
131,119,108,96
416,454,465,472
275,288,301,316
0,0,0,0
172,191,203,214
950,932,931,932
0,0,0,0
251,221,198,175
6419,5919,5531,5121
129,133,130,125
0,0,0,0
107,114,117,121
497,559,584,606
236,264,301,343
132,170,200,232
0,0,0,0
381,392,406,422
354,388,413,439
306,318,332,348
75,89,109,132
